node1,node2,combined_score
GC,ORM1,0.751
GC,HABP2,0.702
GC,TM4SF4,0.704
GFM1,PI3,0.529
GFM1,NPSR1,0.525
GFM1,RPSAP58,0.565
GIF,LTF,0.508
GIF,LIPF,0.423
GIF,GKN1,0.527
GIF,MUC6,0.54
GIF,PGC,0.572
GIF,TFF2,0.682
GIPC3,STX1B,0.493
GIPC3,SLC26A4,0.47
GK,REG4,0.535
GKN1,TFF2,0.589
GKN1,TFF1,0.577
GKN1,PGC,0.507
GKN1,VSIG1,0.41
GKN1,LIPF,0.581
GKN1,MUC6,0.665
GNAO1,OPRD1,0.605
GNAO1,SMO,0.931
GNAO1,KIF5C,0.421
GNAO1,KCNQ2,0.567
GPC5,LRP12,0.9
GPC5,HS3ST3B1,0.908
GPC5,SLC15A1,0.453
GPC5,IRX2,0.542
GPC5,NOTUM,0.964
GUCY1A2,RIMS2,0.418
GUCY2C,KRT20,0.513
GUCY2C,SLC9A3,0.577
GUCY2C,SLC26A3,0.596
HABP2,ORM1,0.41
HABP2,HMX3,0.424
HABP2,TM4SF4,0.588
HLX,IL12RB2,0.499
HOXC10,HOXC8,0.562
HOXC10,SALL4,0.519
HOXC8,UCP1,0.431
HOXC8,SMARCA1,0.464
HS3ST3B1,KLK10,0.409
HTR7,TFF1,0.404
HYDIN,LHFP,0.593
IL12RB2,IL20RA,0.588
IRX2,SMYD1,0.521
ISX,RBP2,0.436
ISX,PIK3C2G,0.41
ITGA9,THBS4,0.653
ITLN1,PHGR1,0.426
KCNB1,KCNS2,0.782
KCNB1,KCNQ2,0.797
KCNB1,KCNB2,0.521
KCNB1,KCNQ3,0.791
KCNB2,KCNS2,0.701
KCNB2,KCNQ2,0.77
KCNB2,KCNQ3,0.75
KCNQ2,STX1B,0.439
KCNQ2,KCNS2,0.711
KCNQ2,KIF5C,0.418
KCNQ2,KCNQ3,0.92
KCNQ3,KCNS2,0.663
KCNQ3,NPSR1,0.401
KIF5C,MAP1B,0.483
KIF5C,SNCA,0.825
KLK6,KRT5,0.442
KLK6,KRT16,0.403
KLK6,SNCA,0.964
KLK6,LOR,0.416
KLK6,WFDC2,0.409
KLK6,MSLN,0.406
KRT14,SOSTDC1,0.403
KRT14,S100A7,0.418
KRT14,MME,0.517
KRT14,KRT6A,0.632
KRT14,KRT6B,0.639
KRT14,KRT17,0.759
KRT14,KRT16,0.771
KRT14,LOR,0.777
KRT14,KRT5,0.994
KRT16,PI3,0.522
KRT16,KRT5,0.896
KRT16,KRT6B,0.747
KRT16,LY6D,0.574
KRT16,KRT4,0.452
KRT16,LOR,0.635
KRT16,S100A7,0.686
KRT16,KRT6A,0.691
KRT16,KRT17,0.786
KRT17,KRT5,0.783
KRT17,KRT6B,0.65
KRT17,LOR,0.467
KRT17,KRT6A,0.748
KRT20,TM4SF4,0.45
KRT20,MUC6,0.469
KRT20,SLC26A3,0.504
KRT20,PHGR1,0.524
KRT20,OLFM4,0.538
KRT20,MME,0.556
KRT20,REG4,0.593
KRT4,SCEL,0.481
KRT4,LOR,0.587
KRT4,KRT6A,0.418
KRT4,MUC5B,0.429
KRT5,MUC6,0.44
KRT5,MUC5B,0.449
KRT5,MSLN,0.517
KRT5,MME,0.614
KRT5,LOR,0.67
KRT5,KRT6A,0.735
KRT5,KRT6B,0.765
KRT6A,KRT6B,0.859
KRT6A,SCEL,0.455
KRT6A,S100A7,0.534
KRT6A,LOR,0.44
KRT6B,S100A7,0.471
LIPF,PGC,0.42
LOR,PI3,0.827
LOR,SCEL,0.424
LOR,S100A7,0.581
LRP12,RIMS2,0.43
LTF,OLFM4,0.478
LTF,ORM1,0.407
LTF,PIGR,0.47
MAGED1,RET,0.463
MAP1B,SNCA,0.617
MME,TLL1,0.57
MME,NEUROD1,0.438
MME,QPCT,0.431
MME,MUC6,0.67
MMP3,PRSS1,0.9
MSLN,PSCA,0.723
MSLN,WFDC2,0.57
MSLN,MUC4,0.502
MSLN,MUC16,0.996
MTMR8,PIK3C2G,0.663
MTTP,NPC1L1,0.709
MTTP,SLC6A19,0.41
MTTP,PLTP,0.422
MUC16,WFDC2,0.574
MUC16,MUC6,0.977
MUC16,MUC5B,0.982
MUC16,MUC4,0.988
MUC4,TFF2,0.41
MUC4,MUC6,0.986
MUC4,MUC5B,0.946
MUC5B,TFF2,0.508
MUC5B,TFF1,0.598
MUC5B,RET,0.433
MUC5B,MUC6,0.929
MUC6,TFF2,0.935
MUC6,TFF1,0.698
MUC6,PSCA,0.641
MUC6,PGC,0.542
NEUROD1,NLRP2,0.466
NMS,OXT,0.529
NMS,PCSK1N,0.509
NMS,NPS,0.716
NPC1L1,PLTP,0.577
NPS,OXT,0.681
NPS,NPSR1,0.997
NPSR1,RPSAP58,0.793
OLFM4,REG1A,0.446
OLFM4,REG3A,0.489
OLFM4,REG1B,0.499
OLFM4,REG4,0.623
ORM1,TM4SF4,0.404
PCLO,RIMS2,0.515
PCLO,SYN2,0.536
PDLIM4,PTPN13,0.805
PGC,TFF2,0.526
PGC,TFF1,0.413
PHGR1,REG1B,0.415
PHGR1,SLC26A3,0.515
PHGR1,REG4,0.484
PHGR1,REG3A,0.429
PI3,WFDC2,0.457
PI3,REG3A,0.468
PI3,S100A7,0.549
PIGR,REG3A,0.441
PLA2G7,PLTP,0.825
PM20D1,UCP1,0.435
PM20D1,SNCA,0.419
POPDC3,SLMO2,0.516
PPM1E,PRKAA2,0.48
PPP1R14A,PRKCB,0.917
PRKAA2,RRAGD,0.936
PRSS1,REG1A,0.523
PRSS1,REG3A,0.465
RAB39B,SNCA,0.511
REG1A,TFF1,0.402
REG1A,REG3A,0.831
REG1A,REG1B,0.922
REG1B,REG3A,0.686
REG4,SLC6A19,0.555
RET,SLC34A2,0.47
RHCG,SLC9A3,0.663
RHCG,SLC26A4,0.549
RIMS2,SYN2,0.444
RRAGD,SRPX,0.467
SALL4,SOX7,0.488
SH3GL3,SYN2,0.42
SLC13A2,SLC9A3,0.446
SLC13A2,SLC26A4,0.441
SLC13A2,SLC26A3,0.687
SLC13A2,SLC34A2,0.412
SLC15A1,SLC9A3,0.646
SLC15A1,SLC6A19,0.68
SLC26A3,SLC9A3,0.974
SLC26A3,SOSTDC1,0.406
SLC26A4,SLC9A3,0.639
SLC34A2,TPD52L1,0.503
SLC6A19,SLC9A3,0.427
SLN,UCP1,0.468
SNCA,STX1B,0.569
SNCA,SYN2,0.421
SRPX,TPD52L1,0.403
STX1B,SYN2,0.649
TFF1,TFF2,0.915
