"node1","node2"
"CDC42","CDC42EP5"
"CDC42","MYL1"
"CDC42","TUBA3D"
"CDC42","GRAP2"
"CDC42","ERBB4"
"CDC42","PKN1"
"CDC42","DNM3"
"CDC42","VAV3"
"CDC42","GSTA4"
"CDC42","MGST1"
"CDC42","ROBO2"
"CDC42","ESR1"
"CDC42","FCHSD1"
"CDC42EP5","PPIL6"
"CDH10","SPHKAP"
"CDH10","KRT222"
"CDH10","COL11A1"
"CDH10","CNTNAP2"
"CDH10","CDH8"
"CDK5RAP1","PUS3"
"CDK5RAP1","PLTP"
"CDKL2","ZNF154"
"CDO1","SFRP1"
"CDO1","GABRB3"
"CDO1","HORMAD1"
"CEACAM5","CEACAM6"
"CEACAM5","CHGA"
"CEACAM5","PSCA"
"CEACAM5","MUC6"
"CEACAM5","MUC16"
"CEACAM5","WT1"
"CEACAM5","ESR1"
"CEACAM5","PGR"
"CEACAM5","KRT5"
"CEACAM5","MSLN"
"CEACAM5","PIP"
"CEACAM5","CRP"
"CEACAM5","MUC1"
"CEACAM6","OLFM4"
"CEACAM6","TFF3"
"CEACAM6","MUC5B"
"CEACAM6","MUC1"
"CEACAM6","LCN2"
"CHAD","HAPLN1"
"CHAD","IGFBP7"
"CHAD","ITGA2"
"CHAD","CLEC3A"
"CHAD","COL2A1"
"CHGA","SYT13"
"CHGA","VSTM2B"
"CHGA","HOPX"
"CHGA","GRIA2"
"CHGA","ELAVL4"
"CHGA","SLC30A10"
"CHGA","PNMT"
"CHGA","PGR"
"CHGA","TFF3"
"CHGA","SLC18A1"
"CHGA","NPSR1"
"CHGA","MUC6"
"CHGA","SYT9"
"CHGA","SCGN"
"CHGA","SLC18A2"
"CHGA","OLFM4"
"CHGA","KRT5"
"CHGA","NPY"
"CHGA","TAC1"
"CHGA","PCSK1N"
"CHGA","PYY"
"CHGA","CHL1"
"CHGA","NEUROD1"
"CHGA","VIP"
"CHGA","UCHL1"
"CHGA","SYT1"
"CHGA","CHGB"
"CHGB","SYT13"
"CHGB","PCSK1N"
"CHGB","SYT1"
"CHGB","PNMT"
"CHGB","NEUROD1"
"CHGB","TAC1"
"CHGB","SYT9"
"CHGB","SCGN"
"CHGB","SNAP91"
"CHGB","NPY"
"CHIT1","IL4"
"CHIT1","SLC5A7"
"CHL1","PVALB"
"CHL1","UCHL1"
"CHL1","FABP7"
"CHL1","ERBB4"
"CHL1","PROM1"
"CHL1","NRTN"
"CHL1","GRIA2"
"CHL1","NEUROD1"
"CHL1","CNTNAP2"
"CHL1","ITGA2"
"CHL1","PTPRZ1"
"CHL1","FAM65B"
"CHL1","CNTN6"
"CHL1","GFRA1"
"CHRM1","PVALB"
"CHRM1","OXT"
"CHRM1","PLCG1"
"CHRM1","PPP1R1B"
"CHRM1","CHRM3"
"CHRM1","GABRA6"
"CHRM1","GRIA2"
"CHRM1","CHRNB1"
"CHRM1","SLC39A12"
"CHRM1","FAIM2"
"CHRM1","VIP"
"CHRM1","RGS7"
"CHRM1","SYN2"
"CHRM1","EDN3"
"CHRM1","NPY"
"CHRNB1","SCGB3A1"
"CHST2","SELL"
"CHST2","FREM2"
"CHST2","TRPC1"
"CHST2","FAM132A"
"CHST2","GALNT12"
"CHST2","CHST4"
"CHST4","SELL"
"CHST4","MUCL1"
"CHST4","MUC6"
"CHST4","MUC5B"
"CHST4","MUC16"
"CHST4","MUC1"
"CHST8","HS6ST3"
"CIDEA","FABP4"
"CIDEA","UCP1"
"CIDEA","ZIC1"
"CIDEA","PLIN1"
"CIDEA","PLIN4"
"CIDEA","TMEM26"
"CLCA2","KRT5"
"CLCA2","KRT6B"
"CLCA2","PKP1"
"CLCA2","MUCL1"
"CLCA2","SERPINB13"
"CLCA2","TRIM29"
"CLCA2","DSC3"
"CLCA2","KRT6A"
"CLCC1","GABRA6"
"CLCC1","CLIC6"
"CLCC1","GABRB3"
"CLCC1","GABRR3"
"CLCC1","GABRP"
"CLCC1","TTYH1"
"CLDN12","TRPV6"
"CLEC3A","CYTL1"
"CLIC6","GABRA6"
"CLIC6","GABRR3"
"CLIC6","GABRB3"
"CLIC6","GABRP"
"CLIC6","TTYH1"
"CLIP4","WDR63"
"CLIP4","TUBA3D"
"CLIP4","SNX10"
"CLIP4","DNAH10"
"CNTFR","IL4"
"CNTFR","EPO"
"CNTFR","IL7"
"CNTFR","IL21"
"CNTFR","GFRA1"
"CNTFR","IL20"
"CNTN6","ELAVL4"
"CNTN6","CNTNAP2"
"CNTNAP2","PVALB"
"CNTNAP2","OXT"
"CNTNAP2","GABRB3"
"CNTNAP2","ROBO2"
"COL11A1","NID2"
"COL11A1","MMP13"
"COL11A1","NID1"
"COL11A1","HAPLN1"
"COL11A1","ITGA2"
"COL11A1","MARCO"
"COL11A1","COL17A1"
"COL11A1","THBS2"
"COL11A1","COL2A1"
"COL17A1","KRT14"
"COL17A1","KRT5"
"COL17A1","KRT6B"
"COL17A1","GABRA6"
"COL17A1","KRT6A"
"COL17A1","KRT4"
"COL17A1","DSC3"
"COL17A1","WDR72"
"COL2A1","MMP13"
"COL2A1","HAPLN1"
"COL2A1","ITGA2"
"COL2A1","MARCO"
"COL2A1","MMP1"
"COL2A1","SOX10"
"CORIN","PROC"
"CORIN","WNT2"
"CORIN","TMPRSS6"
"CORIN","TMPRSS4"
"CP","LTF"
"CP","CRP"
"CP","ORM1"
"CP","SERPINA6"
"CP","LCN2"
"CP","LRG1"
"CP","ITIH2"
"CP","FGG"
"CP","TF"
"CP","HPX"
"CPAMD8","TRIM58"
"CPAMD8","FCHSD1"
"CPXM1","GDAP1"
"CR2","TBX21"
"CR2","IL4"
"CR2","LTF"
"CR2","SELL"
"CR2","IL7"
"CR2","FCRL4"
"CR2","CXCL13"
"CR2","TNFSF13B"
"CRABP1","CYP26A1"
"CRABP1","KLF9"
"CRABP1","ZNF423"
"CRCT1","SERPINB12"
"CRCT1","S100A7"
"CRCT1","IVL"
"CRCT1","SPRR2A"
"CRCT1","LCE6A"
"CRISP3","PIP"
"CRISP3","IZUMO1"
"CRISP3","MSMB"
"CRP","LBP"
"CRP","PLAT"
"CRP","IL4"
"CRP","SELL"
"CRP","EPO"
"CRP","ESR1"
"CRP","TNFSF13B"
"CRP","IL1R1"
"CRP","S100A9"
"CRP","PYY"
"CRP","LRG1"
"CRP","ESM1"
"CRP","FABP4"
"CRP","HPX"
"CRP","TPO"
"CRP","IL7"
"CRP","MMP1"
"CRP","ITLN1"
"CRP","ORM1"
"CRP","MUC1"
"CRP","IL21"
"CRP","PTGS2"
"CRP","F7"
"CRP","LCN2"
"CRP","F3"
"CST1","CST4"
"CST1","LTF"
"CST1","PIP"
"CST1","S100A9"
"CST1","CST9"
"CST4","S100A9"
"CST4","LTF"
"CST4","PIP"
"CST4","MUC5B"
"CST4","CST9"
"CST5","CST9"
"CXCL13","TBX21"
"CXCL13","IL4"
"CXCL13","SELL"
"CXCL13","IL7"
"CXCL13","IL21"
"CXCL13","MARCO"
"CXCL13","CXCL5"
"CXCL13","TNFSF13B"
"CXCL17","CXCL5"
"CXCL5","IL4"
"CXCL5","MMP13"
"CXCL5","IL7"
"CXCL5","S100A7"
"CXCL5","MMP1"
"CXCL5","LCN2"
"CXCL5","PTGS2"
"CYBA","PTGS2"
"CYBA","GBP4"
"CYBA","S100A8"
"CYBA","S100A9"
"CYBA","DUOX1"
"CYP26A1","CYP27A1"
"CYP26A1","RXRG"
"CYP26A1","WT1"
"CYP26A1","SQLE"
"CYP26A1","SDR16C5"
"CYP27A1","SLCO1B1"
"CYP27A1","ESR1"
"CYP27A1","CYP2A7"
"CYP27A1","CYP4F8"
"CYP27A1","CYP4F11"
"CYP27A1","SQLE"
"CYP27A1","CYP4F22"
"CYP27A1","CYP4B1"
"CYP27A1","VSIG2"
"CYP2A7","CYP4F11"
"CYP2A7","CYP4B1"
"CYP4B1","SQLE"
"CYP4F11","SQLE"
"CYP4F22","SQLE"
"CYP4F8","SQLE"
"CYP4F8","PTGS2"
"CYP4F8","PLA2G4C"
"CYP4X1","SQLE"
"CYTL1","HORMAD1"
"CYTL1","ERBB4"
"DCD","S100A7"
"DEFA5","OLFM4"
"DEFA5","PHGR1"
"DERL3","VHL"
"DERL3","FAF2"
"DERL3","ERN1"
"DGKB","PLCG1"
"DGKB","ZBED3"
"DGKB","GRIA2"
"DGKB","GPD1"
"DGKB","ETV1"
"DIO1","HGD"
"DIO1","TRH"
"DIO1","TPO"
"DLEC1","VILL"
"DLEC1","SCGB3A1"
"DLGAP5","PLK2"
"DLGAP5","FABP7"
"DLK1","FABP4"
"DLK1","UCP1"
"DLK1","PROM1"
"DLK1","ZNF423"
"DLK1","PEG10"
"DLX2","HOXC8"
"DLX2","PVALB"
"DLX2","ZIC1"
"DLX2","PPP1R1B"
"DLX2","FABP7"
"DLX2","FOXJ1"
"DLX2","NEUROD1"
"DLX2","SOX10"
"DNAH10","WDR63"
"DNAH10","GAS2L2"
"DNM3","SYT1"
"DNM3","LY96"
"DNM3","GRIA2"
"DNM3","FBXO39"
"DNM3","SYT9"
"DNM3","FCHSD1"
"DNM3","SYN2"
"DNM3","SNAP91"
"DRD4","GABRB3"
"DRD4","NPSR1"
"DRD4","OXT"
"DRD4","PPP1R1B"
"DRD4","SLC18A2"
"DRD4","KCNJ3"
"DSC3","KRT14"
"DSC3","KRT5"
"DSC3","KRT6B"
"DSC3","PKP1"
"DSC3","SERPINB5"
"DSC3","KRT4"
"DSC3","KRT6A"
"DSC3","FLG"
"DTNA","SGCD"
"DUOX1","TPO"
"DYRK1A","LRCH3"
"DYRK1A","SNCA"
"DYRK1A","SNAP91"
"ECE2","EDN3"
"ECE2","EDNRB"
"EDN3","OXT"
"EDN3","PIP"
"EDN3","MITF"
"EDN3","PHOX2A"
"EDN3","NRTN"
"EDN3","TRH"
"EDN3","TAC1"
"EDN3","GFRA1"
"EDN3","NMS"
"EDN3","NPY1R"
"EDN3","SOX10"
"EDN3","EDNRB"
"EDNRB","PLCG1"
"EDNRB","MITF"
"EDNRB","NRTN"
"EDNRB","GFRA1"
"EDNRB","SOX10"
"EEF1A2","PVALB"
"EEF1A2","PPP2R2C"
"EEF1A2","PLCG1"
"EEF1A2","MUC16"
"EEF1A2","POLR2B"
"EEF1A2","MUC1"
"ELAVL4","SYT1"
"ELAVL4","FREM2"
"ELAVL4","NEUROD1"
"ELAVL4","GRIA2"
"ELAVL4","SNCA"
"ELAVL4","KIF1A"
"ELAVL4","NXPH1"
"ELF5","KRT14"
"ELF5","FOXA1"
"ELF5","KRT5"
"ELF5","ENDOD1"
"ELF5","NFKBIZ"
"ELF5","PGR"
"ELF5","ESR1"
"ELOVL2","FABP4"
"ELOVL2","ZNF423"
"ENDOD1","GYS2"
"ENPP2","PLCG1"
"EPO","IL4"
"EPO","PLCG1"
"EPO","F3"
"EPO","PROM1"
"EPO","IL7"
"EPO","IL22RA2"
"EPO","TMPRSS6"
"EPO","IFNGR2"
"EPO","VHL"
"EPO","HIF3A"
"EPS8L1","SIPA1"
"EPSTI1","RTP4"
"EPSTI1","TMEM26"
"EPSTI1","IFIT1"
"EPSTI1","IFIT3"
"EPSTI1","RSAD2"
"ERBB4","PVALB"
"ERBB4","PLCG1"
"ERBB4","WNT2"
"ERBB4","FREM2"
"ERBB4","GRIA4"
"ERBB4","PRKCB"
"ERBB4","GABRB3"
"ERBB4","PGR"
"ERBB4","GRAP2"
"ERBB4","PTPRT"
"ERBB4","LRP1B"
"ERBB4","SPHKAP"
"ERBB4","MUC1"
"ERBB4","VAV3"
"ERBB4","PSEN2"
"ERBB4","PTPRZ1"
"ERBB4","ESR1"
"ERN1","PSEN2"
"ESR1","KRT14"
"ESR1","HSD17B2"
"ESR1","OXT"
"ESR1","SFRP1"
"ESR1","IL4"
"ESR1","FOXA1"
"ESR1","KRT5"
"ESR1","STC2"
"ESR1","PITX1"
"ESR1","WNT2"
"ESR1","FSIP1"
"ESR1","HOXB13"
"ESR1","PIP"
"ESR1","TFF1"
"ESR1","LHCGR"
"ESR1","PELP1"
"ESR1","KRT17"
"ESR1","MMP1"
"ESR1","PGR"
"ESR1","WT1"
"ESR1","PTGS2"
"ESR1","VAV3"
"ESR1","ZNF217"
"ESR1","ID1"
"ESR1","POU4F1"
"ESR1","POLR2B"
"ESR1","SERPINB5"
"ESR1","NPY"
"ESR1","PDZK1"
"ESR1","KRT4"
"ESR1","NAT1"
"ESR1","KLF6"
"ESR1","PROM1"
"ESR1","SCUBE2"
"ESR1","TFF3"
"ESR1","MUC1"
"ETV1","PVALB"
"ETV1","FOXA1"
"ETV1","GFRA1"
"EVC2","SPAG17"
"EVC2","YY1AP1"
"EVC2","HEMGN"
"EXOC3L2","PSEN2"
"F3","PLAT"
"F3","TFPI2"
"F3","PROC"
"F3","SELL"
"F3","SERPINA5"
"F3","PTGS2"
"F3","FGG"
"F3","GFM1"
"F3","F7"
"F7","PLAT"
"F7","TFPI2"
"F7","PROC"
"F7","LRP2"
"F7","FGG"
"F7","TAT"
"F7","GFM1"
"F7","TMPRSS6"
"FABP4","ITLN1"
"FABP4","PCK1"
"FABP4","TMEM26"
"FABP4","S100A7"
"FABP4","LCN2"
"FABP4","PLIN4"
"FABP4","ZNF423"
"FABP4","FABP7"
"FABP4","UCP1"
"FABP4","PLIN1"
"FABP7","NPTX2"
"FABP7","ZIC1"
"FABP7","NEUROD1"
"FABP7","TTYH1"
"FABP7","PROM1"
"FABP7","PTPRZ1"
"FABP7","HES5"
"FABP7","SOX10"
"FAF2","PLIN4"
"FAIM2","OLFM4"
"FAIM2","GABRA6"
"FAIM2","GRIA4"
"FAIM2","HHEX"
"FAIM2","GRIA2"
"FAIM2","VSTM2B"
"FAIM2","SNAP91"
"FAIM2","SPHKAP"
"FAIM2","LRP1B"
"FAIM2","TFAP2B"
"FAM110B","SDR16C5"
"FAM110B","PLAG1"
"FAM132A","TMPRSS6"
"FAM150A","ZNF671"
"FAM150A","RIMS4"
"FAM150A","ZNF154"
"FAM19A1","SLC39A12"
"FAM3B","FUT3"
"FAM83E","VSIG2"
"FAM83E","FUT3"
"FAM83E","OBP2A"
"FAM83E","VILL"
"FBXO39","RGS22"
"FBXO39","SPAG17"
"FCRL1","PIGR"
"FCRL1","MUC1"
"FCRL2","PIGR"
"FCRL2","MUC1"
"FCRL3","PIGR"
"FCRL3","PTPN22"
"FCRL3","TIGIT"
"FCRL3","MUC1"
"FCRL4","TFF1"
"FCRL4","MUC1"
"FCRL4","PIGR"
"FETUB","PROC"
"FETUB","ORM1"
"FETUB","GYS2"
"FETUB","TF"
"FETUB","HPX"
"FETUB","HMGCS2"
"FETUB","HGD"
"FETUB","HAAO"
"FETUB","TMPRSS6"
"FETUB","FGG"
"FETUB","ITIH2"
"FGG","HOXC8"
"FGG","PROC"
"FGG","ORM1"
"FGG","HPX"
"FGG","HGD"
"FGG","LY96"
"FGG","SERPINA5"
"FGG","SERPINA6"
"FGG","TF"
"FGG","TAT"
"FGG","TMPRSS6"
"FGG","ITIH2"
"FLG","KRT14"
"FLG","IL4"
"FLG","KRT5"
"FLG","PKP1"
"FLG","KRT16"
"FLG","KRT17"
"FLG","KLK5"
"FLG","S100A2"
"FLG","S100A7"
"FLG","LELP1"
"FLG","IVL"
"FLG","TCHH"
"FLG","KRT6A"
"FLG","KLK8"
"FLG","KLK11"
"FLG","KRT4"
"FLG","HRNR"
"FLG","KLK6"
"FOLR1","LRP2"
"FOLR1","IZUMO1"
"FOLR1","WFDC2"
"FOLR1","MSLN"
"FOLR1","MUC1"
"FOLR1","MUC16"
"FOXA1","KRT14"
"FOXA1","SOX7"
"FOXA1","SOSTDC1"
"FOXA1","SOX10"
"FOXA1","MITF"
"FOXA1","NEUROD1"
"FOXA1","HHEX"
